[2026-01-06 16:20:06] Độ khó: KHÓ-AI     | THÀNH CÔNG | Steps: 60    | Time: 6.12s
[2026-01-06 16:20:54] Độ khó: KHÓ-DFS    | THÀNH CÔNG | Steps: 389   | Time: 40.9s
[2026-01-07 18:59:01] Độ khó: DỄ-DFS     | THÀNH CÔNG | Steps: 45    | Time: 4.59s
[2026-01-07 18:59:26] Độ khó: VỪA-DFS    | THÀNH CÔNG | Steps: 187   | Time: 19.22s
[2026-01-07 19:01:41] Độ khó: KHÓ-DFS    | THÀNH CÔNG | Steps: 1070  | Time: 110.36s
[2026-01-07 19:03:58] Độ khó: DỄ-AI      | THÀNH CÔNG | Steps: 30    | Time: 0.09s
[2026-01-07 19:04:00] Độ khó: VỪA-AI     | THÀNH CÔNG | Steps: 45    | Time: 0.11s
[2026-01-07 19:04:02] Độ khó: KHÓ-AI     | THÀNH CÔNG | Steps: 59    | Time: 0.17s
[2026-01-07 19:14:47] Độ khó: DỄ-AI      | THÀNH CÔNG | Steps: 30    | Time: 0.14s
[2026-01-07 19:14:56] Độ khó: DỄ-DFS     | THÀNH CÔNG | Steps: 34    | Time: 0.09s
[2026-01-07 19:15:26] Độ khó: DỄ-AI      | THÀNH CÔNG | Steps: 30    | Time: 0.35s
[2026-01-07 19:16:22] Độ khó: VỪA-DFS    | THÀNH CÔNG | Steps: 218   | Time: 2.81s
